Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number,Cord Usage Count
9/30/2024,F,230,17.0,4,AF,0.0,65564834,1
9/30/2024,B,259,6.0,3,AF,1.0,65564834,3
10/5/2024,,219,24.0,-3,AF,0.0,65564834,6
10/5/2024,,207,29.0,-5,AF,4.0,65564834,7
10/5/2024,B,250,12.0,1,AF,4.0,65564834,8
10/5/2024,,211,18.0,3,AF,3.0,65564834,11
10/5/2024,B,239,17.0,0,AF,2.0,65564834,13
10/5/2024,B,242,16.0,-2,AF,0.0,65564834,15
10/6/2024,F,254,5.0,4,AF,0.0,65564834,16
10/6/2024,,218,18.0,1,AF,3.0,65564834,18
10/7/2024,,220,18.0,1,AF,0.0,65564834,20
10/10/2024,B,224,25.0,-4,AF,1.0,65564834,23
10/12/2024,B,227,20.0,-1,AF,0.0,65564834,27
10/12/2024,B,231,18.0,0,AF,0.0,65564834,28
10/12/2024,,229,18.0,-2,AF,0.0,65564834,31
10/12/2024,B,229,23.0,-5,AF,2.0,65564834,33
10/13/2024,F,258,11.0,4,AF,0.0,65564834,35
10/13/2024,B,226,20.0,-3,AF,0.0,65564834,38
10/13/2024,B,240,13.0,1,AF,0.0,65564834,39
10/13/2024,B,235,17.0,0,AF,0.0,65564834,40
10/14/2024,F,216,24.0,-2,AF,0.0,65564834,42
10/14/2024,B,234,16.0,0,AF,0.0,65564834,44
10/19/2024,F,253,13.0,2,AF,3.0,65564834,45
10/19/2024,,235,13.0,2,AF,3.0,65564834,46
10/20/2024,B,235,17.0,-1,AF,0.0,65564834,51
10/20/2024,B/2,215,23.0,2,AF,1.0,65564834,52
10/25/2024,,247,13.0,1,AF,2.0,65564834,59
10/26/2024,F,250,16.0,2,AF,3.0,65564834,60
10/26/2024,,241,16.0,-2,AF,0.0,65564834,61
10/26/2024,B,243,19.0,-3,AF,4.0,65564834,63
10/26/2024,B,229,21.0,-3,AF,2.0,65564834,65
10/26/2024,B,250,6.0,4,AF,3.0,65564834,67
10/27/2024,F,235,19.0,0,AF,0.0,65564834,70
10/27/2024,B,236,19.0,-4,AF,1.0,65564834,71
11/2/2024,F,247,17.0,0,AF,1.0,65564834,74
11/2/2024,,241,16.0,0,AF,1.0,65564834,75
11/2/2024,,228,20.0,-1,AF,0.0,65564834,76
11/2/2024,B,254,17.0,-4,AF,2.0,65564834,77
11/3/2024,,216,21.0,-1,AF,1.0,65564834,84
11/3/2024,B ,263,5.0,4,AF,0.0,65564834,86
5/3/2025,,235,17.0,0,AF,4.0,65564834,93
5/3/2025,B,232,21.0,-1,AF,2.0,65564834,94
5/3/2025,B,229,22.0,-4,AF,1.0,65564834,96
5/3/2025,,237,19.0,-3,AF,4.0,65564834,97
5/3/2025,B,227,22.0,-2,AB,3.0,65564834,98
5/4/2025,B,239,19.0,-2,AF,2.0,65564834,101
5/5/2025,F,255,15.0,-3,AF,0.0,65564834,102
5/9/2025,B,238,18.0,-3,AB,0.0,65564834,104
5/10/2025,B,252,15.0,-4,AF,2.0,65564834,107
5/10/2025,,248,14.0,-3,AF,0.0,65564834,108
5/10/2025,,249,15.0,-5,AF,1.0,65564834,109
5/10/2025,B,247,17.0,-4,AF,1.0,65564834,112
