Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number,Cord Usage Count
8/8/2025,B,222,18.0,5,AF,0.0,65574834,2
8/8/2025,B,224,22.0,4,AF,2.0,65574834,4
8/8/2025,B,225,25.0,-3,AF,0.0,65574834,5
8/9/2025,F,248,14.0,4,AF,0.0,65574834,6
8/9/2025,,230,19.0,1,AF,0.0,65574834,7
8/9/2025,,225,23.0,-3,AF,2.0,65574834,8
8/9/2025,B,224,24.0,-2,AF,0.0,65574834,9
8/9/2025,B,234,21.0,0,AF,1.0,65574834,10
8/9/2025,,212,26.0,0,AF,1.0,65574834,11
8/9/2025,B,239,21.0,-3,AF,3.0,65574834,12
8/9/2025,B,233,29.0,-3,BF,2.0,65574834,13
8/9/2025,,221,23.0,-1,AF,2.0,65574834,15
8/9/2025,,212,28.0,-3,AF,3.0,65574834,16
8/9/2025,,236,25.0,-2,AF,3.0,65574834,17
8/9/2025,B,222,25.0,-2,AF,2.0,65574834,18
8/9/2025,,221,22.0,0,AF,2.0,65574834,19
8/9/2025,,212,26.0,0,AF,2.0,65574834,20
8/9/2025,,230,19.0,-1,AF,0.0,65574834,22
8/9/2025,,226,23.0,-4,AF,1.0,65574834,24
8/9/2025,,215,24.0,-1,AF,2.0,65574834,25
8/9/2025,,211,24.0,0,AF,0.0,65574834,26
8/9/2025,B,234,23.0,-1,AF,3.0,65574834,28
8/10/2025,B,213,27.0,-2,AF,0.0,65574834,31
8/10/2025,B,233,22.0,-4,AF,0.0,65574834,33
8/10/2025,B/2,237,19.0,0,AF,0.0,65574834,37
8/11/2025,F,267,12.0,4,AF,0.0,65574834,38
8/11/2025,B ,248,19.0,-4,AF,1.0,65574834,39
8/11/2025,B,232,22.0,-1,AF,2.0,65574834,40
8/12/2025,F,249,17.0,1,AF,0.0,65574834,41
8/13/2025,B/2,237,19.0,0,AF,0.0,65574834,44
8/15/2025,F,237,21.0,2,AF,2.0,65574834,46
8/15/2025,B,225,24.0,1,AF,0.0,65574834,47
8/15/2025,,218,25.0,-3,AF,0.0,65574834,49
8/16/2025,F,226,25.0,0,AF,0.0,65574834,50
8/16/2025,,261,14.0,-3,AF,4.0,65574834,51
8/16/2025,,240,19.0,-3,AF,0.0,65574834,52
8/16/2025,,234,22.0,-3,AF,1.0,65574834,53
8/16/2025,B,245,21.0,-4,AF,0.0,65574834,55
8/16/2025,,241,17.0,0,AF,4.0,65574834,56
8/16/2025,B,239,28.0,-3,BF,0.0,65574834,57
8/16/2025,,224,23.0,-2,AF,0.0,65574834,58
8/16/2025,B,232,28.0,-5,AF,3.0,65574834,60
8/16/2025,,247,17.0,2,AF,0.0,65574834,61
8/16/2025,,239,17.0,1,AF,1.0,65574834,62
8/17/2025,B,234,24.0,-4,AF,0.0,65574834,65
8/17/2025,B,251,17.0,0,AF,0.0,65574834,67
8/17/2025,,240,19.0,-2,AF,3.0,65574834,68
8/17/2025,B,257,16.0,-3,AF,2.0,65574834,69
8/17/2025,,209,27.0,-3,AF,0.0,65574834,70
8/17/2025,,256,15.0,-2,AF,1.0,65574834,72
8/18/2025,F,228,24.0,0,AF,1.0,65574834,73
