Elongation (ft),% Elongation,Sample 1,Sample 2,DELTA,2024 Average,BASELINE 2015,Delta Baseline,% STRONGER
10,0,0,,,0,,,
12,20,0,,0,0,,,
14,40,12,,12,6,,,
16,60,16,,16,8,,,
18,80,22,,22,11,,,
20,100,32,,32,16,53.5,-37.5,-70%
22,120,36,,36,18,,,
24,140,46,,46,23,,,0%
26,160,52,,52,26,,,
28,180,58,,58,29,,,
30,200,60,,60,30,99.5,-69.5,-70%
32,220,72,,72,36,,,
34,240,76,,76,38,,,0%
36,260,90,,90,45,,,
38,280,102,,102,51,,,
40,300,116,,116,58,165.5,-107.5,-65%
42,320,130,,130,65,,,
44,340,144,,144,72,,,0%
46,360,156,,156,78,,,
48,380,192,,192,96,,,
50,400,220,,220,110,331,-221,-67%
