Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number,Cord Usage Count
6/30/2025,N,199.0,9.0,-5,BF,0.0,66114828,1
6/30/2025,B,212.0,9.0,5,AF,2.0,66114828,3
6/30/2025,,203.0,12.0,5,AF,0.0,66114828,4
6/30/2025,,191.0,19.0,-2,AF,0.0,66114828,5
6/30/2025,,183.0,22.0,-2,AF,1.0,66114828,6
6/30/2025,,165.0,28.0,1,AF,0.0,66114828,7
6/30/2025,B,216.0,14.0,0,AF,0.0,66114828,8
6/30/2025,,213.0,13.0,-2,AF,4.0,66114828,9
6/30/2025,,209.0,14.0,-1,AF,0.0,66114828,10
6/30/2025,B/2,197.0,21.0,-3,AF,0.0,66114828,11
6/30/2025,,190.0,19.0,-2,AF,1.0,66114828,12
6/30/2025,,182.0,22.0,-1,AF,0.0,66114828,13
6/30/2025,,182.0,24.0,-2,AF,1.0,66114828,14
6/30/2025,,172.0,26.0,0,AF,0.0,66114828,15
6/30/2025,,192.0,19.0,-1,AB,0.0,66114828,16
6/30/2025,,185.0,21.0,-1,AF,1.0,66114828,17
6/30/2025,,180.0,25.0,-2,AF,1.0,66114828,20
6/30/2025,,170.0,28.0,-2,AF,0.0,66114828,21
7/1/2025,F,187.0,25.0,-3,AF,0.0,66114828,22
7/1/2025,,196.0,19.0,-3,AF,3.0,66114828,26
7/1/2025,,200.0,17.0,-5,AF,0.0,66114828,27
7/1/2025,,200.0,15.0,-3,AF,0.0,66114828,28
7/1/2025,,200.0,22.0,-5,AF,1.0,66114828,29
7/1/2025,,180.0,25.0,-4,AF,3.0,66114828,30
7/1/2025,,189.0,19.0,-4,AF,1.0,66114828,32
7/1/2025,B,227.0,24.0,4,AF,4.0,66114828,34
7/1/2025,,195.0,17.0,-1,AF,0.0,66114828,35
7/1/2025,,176.0,23.0,0,AF,0.0,66114828,37
7/1/2025,B,183.0,25.0,-5,AF,1.0,66114828,38
7/1/2025,,177.0,24.0,-4,AF,0.0,66114828,39
7/2/2025,,227.0,6.0,0,AF,0.0,66114828,41
7/2/2025,,227.0,7.0,-5,AF,0.0,66114828,42
7/2/2025,,198.0,16.0,-5,AF,0.0,66114828,43
7/2/2025,,193.0,15.0,-1,AF,0.0,66114828,44
7/2/2025,,194.0,16.0,-3,AF,0.0,66114828,45
7/2/2025,,182.0,20.0,0,AF,0.0,66114828,46
7/2/2025,,176.0,24.0,-5,AF,0.0,66114828,47
7/3/2025,F,184.0,24.0,0,AF,1.0,66114828,50
7/3/2025,,183.0,22.0,0,AF,0.0,66114828,51
7/3/2025,B,232.0,9.0,-3,AF,0.0,66114828,52
7/4/2025,,183.0,22.0,-4,AF,1.0,66114828,54
7/4/2025,,181.0,22.0,0,AF,2.0,66114828,55
7/4/2025,,174.0,25.0,-4,AF,0.0,66114828,56
7/4/2025,B,222.0,12.0,-4,AF,0.0,66114828,58
7/4/2025,,212.0,10.0,-2,AF,0.0,66114828,59
7/4/2025,,207.0,12.0,-2,AF,1.0,66114828,60
7/4/2025,,208.0,12.0,0,AF,2.0,66114828,61
7/4/2025,,202.0,14.0,-3,AF,0.0,66114828,62
7/4/2025,B,224.0,6.0,2,AF,0.0,66114828,64
7/4/2025,,220.0,7.0,1,AF,5.0,66114828,65
7/4/2025,,190.0,18.0,1,AF,4.0,66114828,66
7/4/2025,B,181.0,20.0,0,AF,1.0,66114828,67
7/4/2025,,173.0,24.0,-2,AF,2.0,66114828,68
7/4/2025,,203.0,14.0,-3,AF,2.0,66114828,71
7/4/2025,,186.0,18.0,1,AF,1.0,66114828,72
7/4/2025,,170.0,24.0,0,AF,0.0,66114828,73
7/4/2025,,188.0,19.0,1,AF,1.0,66114828,74
7/4/2025,,159.0,24.0,-1,AF,1.0,66114828,76
7/4/2025,B,201.0,18.0,-4,AF,0.0,66114828,77
7/4/2025,B,183.0,23.0,-5,AB,0.0,66114828,78
7/4/2025,,178.0,20.0,1,AF,0.0,66114828,79
7/4/2025,,175.0,23.0,0,AF,1.0,66114828,80
7/5/2025,F,214.0,14.0,-1,AF,1.0,66114828,81
7/5/2025,,178.0,22.0,-5,AF,2.0,66114828,82
7/5/2025,,179.0,20.0,-1,AF,0.0,66114828,83
7/5/2025,B ,220.0,6.0,2,AF,4.0,66114828,84
7/5/2025,,199.0,14.0,-3,AF,1.0,66114828,85
7/5/2025,,213.0,9.0,-3,AF,0.0,66114828,88
7/5/2025,,211.0,10.0,-1,AF,1.0,66114828,89
7/5/2025,,202.0,12.0,-3,AF,0.0,66114828,91
7/5/2025,,198.0,14.0,-3,AF,2.0,66114828,92
7/5/2025,,213.0,9.0,-3,AF,0.0,66114828,93
7/5/2025,,193.0,14.0,0,AF,1.0,66114828,94
7/5/2025,Brk,190.0,20.0,-3,AF,0.0,66114828,97
7/5/2025,,212.0,10.0,-4,AF,0.0,66114828,99
7/5/2025,,204.0,12.0,-1,AF,0.0,66114828,100
7/5/2025,,197.0,14.0,0,AF,5.0,66114828,101
7/5/2025,,167.0,23.0,0,AF,0.0,66114828,103
7/5/2025,Brk,222.0,6.0,1,AB,1.0,66114828,105
7/5/2025,,170.0,22.0,1,AF,1.0,66114828,107
7/5/2025,B,188.0,19.0,1,AF,0.0,66114828,109
7/5/2025,,166.0,26.0,0,AF,0.0,66114828,110
7/5/2025,,186.0,19.0,-3,AF,0.0,66114828,111
7/5/2025,,171.0,26.0,-5,AF,0.0,66114828,112
7/5/2025,B,210.0,15.0,-4,AF,0.0,66114828,113
7/5/2025,,197.0,17.0,-3,AF,1.0,66114828,114
7/5/2025,,193.0,17.0,-5,AF,0.0,66114828,115
7/5/2025,,195.0,14.0,2,AF,0.0,66114828,116
7/5/2025,,190.0,14.0,4,AF,0.0,66114828,117
7/5/2025,,188.0,18.0,-2,AF,0.0,66114828,118
7/5/2025,,185.0,19.0,-1,AF,0.0,66114828,119
7/6/2025,F,215.0,14.0,-5,AF,0.0,66114828,120
