Date,Brk,Hour,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Additional Factors,JM,JA,Cord Serial Number,Breaks
9/2/2024,B,12,126,6,,AF,,,JC,ZG,6344 4816,0
,,,136,4,4,BF,0,,,,6344 4816,
9/3/2024,F,16,113,12,,AF,,,ZS,ZG,6344 4816,
,B,17,110,25,,BF,,,,,6344 4816,
,,17,112,12,,BF,,,,,6344 4816,
9/6/2024,F,14,85,12,,BF,,,ZG,TL,6344 4816,
,B,15,114,17,D0,AF,0,,,,6344 4816,
,B,16,106,10,,AF,,,ZS,TL,6344 4816,
9/7/2024,F,14,116,18,1,AF,0,,TZ,ZG,6344 4816,
,,14,115,15,-3,AF,0,,,,6344 4816,
,B,16,100,6,,AF,,,,,6344 4816,
9/9/2024,F,17,100,6,,BF,,,,,6344 4816,
9/12/2024,F,17,95,12,,AF,,,ZS,ZG,6344 4816,
,B,17,95,12,,AF,,,ZS,ZG,6344 4816,
9/13/2024,F,17,96,6,,AF,,,MS,ZS,6344 4816,
9/14/2024,F,8,109,6,,AF,,,ZS,ZG,6344 4816,
,B,14,114,15,,AF,,,,,6344 4816,
,B,15,105,21,2,AF,1,,CD,JK,6344 4816,
9/15/2024,F,10,110,20,1,AF,0,STRAIGHTDOWN,MS,CO,6344 4816,
,B,15,118,18,,AF,,,ZG,CD,6344 4816,
,,16,106,6,,AF,,,ZS,TC,6344 4816,
9/17/2024,F,16,112,6,,BF,,,ZS,ZG,6344 4816,
9/19/2024,F,17,101,25,6,AF,0,SMALLFLOP,ZS,ZG,6344 4816,
9/23/2024,F,14,108,23,3,AF,0,,,,6344 4816,
9/26/2024,F,17,109,13,,AF,,,ZG,CD,6344 4816,
9/28/2025,F,12,130,6,,BF,,,,,6344 4816,
9/29/2024,F,12,106,22,3,AF,0,,ZG,MS,6344 4816,
,B,14,103,22,4,AF,0,,MS,ZG,6344 4816,
10/4/2024,F,16,104,22,1,AF,0,STRAIGHTDOWN,ZG,ZS,6344 4816,
10/5/2024,F,17,108,23,-3,AF,0,,OAB,MS,6344 4816,
,,17,106,26,-2,BF,0,,,,6344 4816,
,B,18,121,12,1,AF,0,,,,6344 4816,
10/6/2024,F,11,113,21,,AF,,,ZS,ZG,6344 4816,
,B,12,108,21,D0,AF,1,,,,6344 4816,
10/11/2024,F,12,104,6,,AF,,,ZS,ZG,6344 4816,
,,12,115,6,,AF,,,,,6344 4816,
10/12/2024,F,9,108,6,,AF,,,MS,CD,6344 4816,
10/18/2024,F,14,110,22,,AF,,,ZS,MS,6344 4816,
10/19/2024,F,15,107,12,,AF,,,CD,MS,6344 4816,
,,15,107,6,,AF,,,,,6344 4816,
10/26/2024,F,14,108,24,-3,BF,0,,ZG,CD,6344 4816,
11/3/2024,F,17,133,6,,BF,,,CO,MS,6344 4816,0
5/3/2025,F,14,125,21,-1,BF,0,,ZG,CD,6344 4816,0
5/10/2025,F,14,124,13,4,AF,0,,MS,MAS,6344 4816,
,,14,89,26,4,AF,0,,,,6344 4816,
5/15/2025,F,15,114,21,-7,AF,0,,CD,MAS,6344 4816,
,,16,109,6,,AF,,,,,6344 4816,
5/16/2025,F,14,114,21,,AF,0,FLOP,,,6344 4816,
5/17/2025,F,10,115,21,W0,AF,1,,,,6344 4816,
,B,11,109,18,2,AF,0,,,,6344 4816,
,B,16,110,21,-3,AF,1,,,,6344 4816,
5/18/2025,F,7,116,21,-4,AF,0,,SZ,TZ,6344 4816,
,,7,116,6,,AF,,,,,6344 4816,
,,7,129,4,2,AF,,DEADMAN,,,6344 4816,
,B,10,132,6,3,AF,P0,,TL,ZC,6344 4816,
,,11,98,9,,AF,,,ZG,MAS,6344 4816,
5/19/2025,F,13,93,6,,AF,,,,,6344 4816,
,B,18,110,19,2,AF,0,SPINS,,,6344 4816,
,,18,118,6,,AF,,,,,6344 4816,
5/25/2025,F,11,118,20,-4,AF,,,CD,ZS,6344 4816,
,,11,118,20,-5,AF,0,STRAIGHTDOWN,,,6344 4816,
5/26/2025,F,18,95,9,,AF,,,ZG,MAS,6344 4816,
5/27/2025,F,16,126,24,-4,BF,,,,,6344 4816,
6/4/2025,F,15,130,6,4,AF,1,,ZG,JA,6344 4816,
,,15,125,9,2,AF,0,,,,6344 4816,
6/7/2025,F,11,119,18,W0,AF,0,FLOP,,,6344 4816,
,B,15,115,22,,AF,,,MS,ZS,6344 4816,
,B,16,103,6,,AF,,,,,6344 4816,
,B,19,104,22,3,AF,2,,,,6344 4816,
6/11/2025,F,,127,15,,,1,BACKFLIPS,,,6344 4816,
,,,126,22,-5,BF,,BACKFLIPS,,,6344 4816,
,B,16,127,9,,BF,3,TOPCAGE,TL,JC,6344 4816,
6/13/2025,F,14,126,18,-1,BF,1,BACKFLIPS,ZG,RD,6344 4816,
6/14/2025,F,9,97,24,5,AF,0,,ZG,MS,6344 4816,
,B,14,108,21,3,AF,0,,TC,ZS,6344 4816,
,B,16,102,27,-3,AF,0,,TC,MAS,6344 4816,
6/18/2025,F,12,127,6,,BF,,,ZG,MAS,6344 4816,
,,12,127,6,,BF,,DEADMAN,,,6344 4816,
,,12,121,13,,AF,,,,,6344 4816,
6/19/2025,F,16,116,18,4,AF,4,,ZG,EB,6344 4816,
6/21/2025,F,15,117,19,-4,AF,0,STRAIGHTDOWN,ZS,MAS,6344 4816,
6/22/2025,F,17,123,,-5,BF,2,,ZG,NB,6344 4816,
6/25/2025,F,13,115,20,W0,AF,0,,ZG,MAS,6344 4816,
,,15,113,6,,AF,,,TL,RB,6344 4816,
6/28/2025,F,9,127,6,,AF,,,ZG,MAS,6344 4816,
,,9,104,6,,AF,,,,,6344 4816,
,B,11,119,,,AF,,,,,6344 4816,
,B,13,109,6,,AF,,,JL,MS,6344 4816,
,B,16,110,21,1,AF,0,,,,6344 4816,
,B,18,110,23,-1,AF,2,,,,6344 4816,
6/29/2025,F,,107,12,,AF,,,ZG,RD,6344 4816,
,B,12,117,6,,AF,,,MAS,ZG,6344 4816,
,B,13,115,6,,AF,,,,,6344 4816,
,B,14,124,23,-5,BF,0,STRAIGHTDOWN,,,6344 4816,
,,14,126,6,1,AF,0,,,,6344 4816,
,B,17,114,21,-5,AF,0,,MS,VB,6344 4816,
,,17,102,21,-1,AF,0,,MS,NB,6344 4816,
,B,19,113,6,,AF,,,,,6344 4816,
,,19,107,20,,AF,,,,,6344 4816,
6/30/2025,F,,16,18,-4,AF,0,,ZC,JA,6344 4816,
,,,88,12,,,,,,,6344 4816,
7/1/2025,F,13,117,17,-2,AF,0,,MAS,ZG,6344 4816,
,,13,104,20,1,AF,0,,,,6344 4816,
7/2/2025,F,15,95,27,3,AF,1,FLOP,,,6344 4816,
7/3/2025,F,13,119,16,D0,AF,1,,MAS,TL,6344 4816,
