,CORD,#,MFG,,,MFG. DATE,PROD,ACTUAL,PROD,END,Backup,Preload,END,FINAL,DATE,,
,SERIAL #,WRAPS,BY,LOT#,BOX#,,LENGTH,LENGTH,LOAD,LOAD,Length (ft),Length (ft),LENGTH,LENGTH,MFG,,
2021,6324,2028,RW,166891,23,20-Apr,20',20',900,670,80,86,25',"22'2""",21-Feb,,
,6325,2034,RW,166891,23,20-Apr,20',20',1050,820,80,86,"25'6""",22',21-Feb,,
,6326,2034,RW,166891,24/23,20-Apr,20',20',1035,820,80,86,"24'8""",22',21-Feb,,
,6327,2922,RW,166891,23,20-Apr,29',29',730,530,116,124,"36'6""","31'2""",21-Feb,,
,6328,2928,RW,166891,23,20-Apr,29',29',850,680,116,124,37',"31'8""",21-Feb,,
,6329,2018,RW,166891,32,20-Apr,20',20',370,310,57,86,"22'10""","21'4""",21-Mar,,
,6330,2042,RW,166891,32,20-Apr,20',20',860,620,57,86,"22'10""","21'4""",21-Mar,,
,6331,3022,RW,166891,27,20-Apr,30',30',720,520,120,129,"33'10""","31'8""",21-Apr,,
,6332,3022,RW,166891,27,20-Apr,30',30',700,500,120,129,"34'2""","31'11""",21-Apr,,
,6333,3022,RW,166891,36 27,20-Apr,30',30',690,510,120,129,"34'2""","31'11""",21-Apr,,
,6334,3028,RW,166891,33,20-Apr,30',30',870,670,120,129,"34'3""",32',21-Apr,,
,6335,3028,RW,166891,33,20-Apr,30',30',920,660,120,129,"33'10""","31'5""",21-Apr,,
,6336,3028,RW,166891,33,20-Apr,30',30',900,670,120,129,"34'1""","31'8""",21-Apr,,
,6337,3028,RW,166891,26,20-Apr,30',30',860,670,120,129,34',31'10|',21-Apr,,
,6338,3028,RW,166891,26,20-Apr,30',30',880,680,120,129,"34'2""","31'11""",21-Apr,,
,6339,3028,RW,166891,26,20-Apr,30',30',910,660,120,129,"33'9""","31'10""",21-Apr,,
,6340,3034,RW,166891,36,20-Apr,30',30',1100,850,120,129,"33'10""","31'7""",21-Apr,,
,6341,3040,RW,166891,36,20-Apr,30',30',1260,990,120,129,"34'1""","31'7""",21-Apr,,
,6342,2028,RW,166891,32,20-Apr,20',20',860,650,80,86,"23'5""","21'7""",21-Apr,,
,6343,2040,RW,166891,35,20-Apr,20',20',1260,980,80,86,"23'7""","21'5""",21-Apr,,
,6344,4816,RW,166891,75,20-Apr,48',48',480,380,192,206,"56'4""",,21-May,,
,6345,4834,RW,166891,75,20-Apr,48',48',900,830,192,206,"56'1""",,21-May,,
,6346,5516,RW,166891,82,20-Apr,55',55',480,380,220,240,66',"61'7""",21-May,,
,6347,5522,RW,166891,79,20-Apr,55',55',660,530,220,240,"65'4""","61'4""",21-May,,
,6348,5528,RW,166891,82,20-Apr,55',55',830,700,220,240,"65'2""","61'3""",21-May,,
,6349,5534,RW,166891,27 79,20-Apr,55',55',1000,875,220,240,"64'7""","60'4""",21-May,,
,6350,2922,RW,166891,25,20-Apr,29',29',690,540,116,124,"32'7""","31'4""",21-Jun,,
,6351,2928,RW,166891,25,20-Apr,29',29',880,680,116,124,"32'4""","31'2""",21-Jun,,
,6352,4822,RW,166891,75,20-Apr,48',48',660,540,192,206,"56'4""",,21-Jun,,
,6353,4828,RW,166891,75 76,20-Apr,48',48',860,680,192,206,"57'3""",,21-Jun,,
,6354,4834,RW,166891,25 75,20-Apr,48',48',1020,830,192,206,"56'7""",,21-Jun,,
,6355,2030,RW,166891,76,20-Apr,20',20',580,480,57,86,"22'3""","21'1""",21-Jul,,
