Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
10/20/2024,,152,22.0,1,AF,0.0,65524822
10/20/2024,,140,15.0,,AF,,65524822
10/20/2024,B,137,30.0,2,AF,2.0,65524822
10/20/2024,,152,23.0,-2,AF,0.0,65524822
10/20/2024,,141,27.0,0,AF,0.0,65524822
10/20/2024,B,154,25.0,-2,AF,1.0,65524822
10/20/2024,,153,22.0,-3,AF,1.0,65524822
10/20/2024,,138,21.0,,AF,,65524822
10/20/2024,B,149,23.0,4,AF,2.0,65524822
10/20/2024,,149,29.0,0,AF,1.0,65524822
10/20/2024,,138,31.0,-3,AF,3.0,65524822
10/20/2024,B,159,23.0,-3,AF,4.0,65524822
10/20/2024,B/2,156,21.0,-2,AF,0.0,65524822
10/20/2024,B/2,136,32.0,-3,AF,0.0,65524822
10/20/2024,,127,35.0,-1,AF,2.0,65524822
10/20/2024,,158,20.0,-2,AF,0.0,65524822
10/20/2024,,158,12.0,,AF,,65524822
10/20/2024,,141,21.0,,AF,,65524822
10/20/2024,,140,21.0,,AF,,65524822
10/20/2024,B,162,22.0,0,AF,2.0,65524822
10/20/2024,,155,12.0,,AF,,65524822
10/20/2024,,145,23.0,-5,AF,0.0,65524822
10/20/2024,B,150,24.0,,BF,,65524822
10/21/2024,F,136,36.0,-3,BF,0.0,65524822
10/21/2024,B,138,31.0,-1,AF,0.0,65524822
10/21/2024,,131,31.0,-1,AF,0.0,65524822
10/21/2024,B,147,6.0,,AF,,65524822
10/21/2024,,141,12.0,,AF,,65524822
10/21/2024,,112,16.0,,AF,,65524822
10/21/2024,B,156,23.0,0,AF,0.0,65524822
10/21/2024,,156,21.0,0,AF,1.0,65524822
10/21/2024,B/2,152,24.0,-1,AF,1.0,65524822
10/21/2024,,117,6.0,,AF,,65524822
10/24/2024,F,153,18.0,,BF,,65524822
10/24/2024,,155,24.0,-3,AF,0.0,65524822
10/24/2024,,148,24.0,-1,AF,1.0,65524822
10/24/2024,,137,24.0,2,AF,,65524822
10/24/2024,,129,35.0,-4,AF,0.0,65524822
10/24/2024,B,156,18.0,,BF,,65524822
10/24/2024,,119,27.0,,BF,,65524822
10/24/2024,B,183,4.0,4,AF,2.0,65524822
10/24/2024,,156,24.0,-5,AF,0.0,65524822
10/24/2024,,152,24.0,-5,AF,0.0,65524822
10/24/2024,,149,23.0,-1,AF,0.0,65524822
10/24/2024,,147,23.0,-1,AF,0.0,65524822
10/24/2024,,140,23.0,1,AF,0.0,65524822
10/24/2024,,130,33.0,-3,AF,2.0,65524822
10/24/2024,,126,24.0,,AF,,65524822
10/25/2024,F,156,26.0,0,AF,1.0,65524822
10/25/2024,,146,18.0,3,AF,0.0,65524822
10/25/2024,,137,29.0,-2,AF,1.0,65524822
10/25/2024,,169,6.0,,AF,,65524822
10/25/2024,B,116,22.0,-4,AF,0.0,65524822
10/25/2024,,156,19.0,0,AF,1.0,65524822
10/25/2024,B,164,23.0,-6,AF,0.0,65524822
