Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number,Cord Usage Count
9/30/2024,F,230,17.0,4,AF,0.0,65564834,1
9/30/2024,B,259,6.0,3,AF,1.0,65564834,3
10/5/2024,B,250,12.0,1,AF,4.0,65564834,8
10/5/2024,,211,18.0,3,AF,3.0,65564834,11
10/5/2024,B,239,17.0,0,AF,2.0,65564834,13
10/6/2024,F,254,5.0,4,AF,0.0,65564834,16
10/6/2024,,218,18.0,1,AF,3.0,65564834,18
10/7/2024,,220,18.0,1,AF,0.0,65564834,20
10/12/2024,F,246,6.0,7,AF,1.0,65564834,25
10/12/2024,B,231,18.0,0,AF,0.0,65564834,28
10/13/2024,F,258,11.0,4,AF,0.0,65564834,35
10/13/2024,B,240,13.0,1,AF,0.0,65564834,39
10/13/2024,B,235,17.0,0,AF,0.0,65564834,40
10/14/2024,B,234,16.0,0,AF,0.0,65564834,44
10/19/2024,F,253,13.0,2,AF,3.0,65564834,45
10/19/2024,,235,13.0,2,AF,3.0,65564834,46
10/20/2024,B/2,215,23.0,2,AF,1.0,65564834,52
10/25/2024,,247,13.0,1,AF,2.0,65564834,59
10/26/2024,F,250,16.0,2,AF,3.0,65564834,60
10/26/2024,B,250,6.0,4,AF,3.0,65564834,67
10/27/2024,F,235,19.0,0,AF,0.0,65564834,70
11/2/2024,F,247,17.0,0,AF,1.0,65564834,74
11/2/2024,,241,16.0,0,AF,1.0,65564834,75
11/3/2024,B ,263,5.0,4,AF,0.0,65564834,86
5/3/2025,,235,17.0,0,AF,4.0,65564834,93
5/10/2025,,230,18.0,3,AF,2.0,65564834,113
5/11/2025,F,252,16.0,0,AF,0.0,65564834,116
5/11/2025,B,269,8.0,1,AF,0.0,65564834,121
5/18/2025,,221,18.0,1,AF,2.0,65564834,124
5/18/2025,B,241,17.0,0,AF,2.0,65564834,127
5/18/2025,,228,16.0,0,AF,2.0,65564834,129
5/18/2025,,224,18.0,0,AB,3.0,65564834,130
5/18/2025,,234,15.0,0,AF,0.0,65564834,132
5/18/2025,,222,19.0,0,AB,4.0,65564834,133
5/19/2025,B,236,16.0,0,AF,2.0,65564834,139
5/19/2025,B,226,29.0,1,AF,1.0,65564834,142
5/23/2025,B,252,8.0,0,AF,0.0,65564834,148
5/24/2025,F,278,5.0,1,AF,3.0,65564834,149
5/24/2025,B,242,15.0,2,AF,4.0,65564834,156
5/25/2025,B,260,8.0,1,AF,1.0,65564834,160
5/31/2025,F,223,24.0,3,AF,0.0,65564834,163
5/31/2025,B,235,16.0,1,AF,0.0,65564834,166
5/31/2025,B,260,8.0,2,AF,3.0,65564834,170
5/31/2025,B,220,21.0,0,AF,2.0,65564834,173
5/31/2025,B,267,6.0,3,AF,0.0,65564834,174
5/31/2025,,225,16.0,2,AF,3.0,65564834,176
6/1/2025,B,252,6.0,4,AF,0.0,65564834,179
6/1/2025,,242,6.0,3,AF,0.0,65564834,180
6/5/2025,F,234,18.0,1,AF,0.0,65564834,190
6/7/2025,F,221,22.0,2,AF,0.0,65564834,192
6/8/2025,B,242,16.0,0,AF,0.0,65564834,195
6/16/2025,,240,17.0,0,BF,0.0,65564834,206
6/18/2025,,225,19.0,2,AF,2.0,65564834,210
