Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
10/19/2024,F,196.0,17.0,-4,AF,2,65934828
10/19/2024,,206.0,11.0,-2,AF,0,65934828
10/19/2024,B,192.0,6.0,,BF,,65934828
10/19/2024,,175.0,24.0,-3,AF,1,65934828
10/19/2024,B,170.0,12.0,,BF,,65934828
10/19/2024,,172.0,23.0,1,AF,1,65934828
10/20/2024,F,226.0,9.0,2,AF,0,65934828
10/20/2024,B,181.0,32.0,-5,BF,,65934828
10/20/2024,,203.0,12.0,2,AF,2,65934828
10/20/2024,,195.0,16.0,-3,AF,1,65934828
10/20/2024,,192.0,16.0,-3,AF,3,65934828
10/20/2024,,161.0,26.0,2,AF,3,65934828
10/20/2024,B,200.0,16.0,-4,AF,0,65934828
10/20/2024,,200.0,12.0,3,AF,0,65934828
10/20/2024,,183.0,21.0,-5,AF,0,65934828
10/20/2024,,185.0,20.0,-3,AB,1,65934828
10/20/2024,,175.0,22.0,-1,AF,0,65934828
10/20/2024,B,204.0,15.0,-1,AB,2,65934828
10/20/2024,,185.0,17.0,3,AB,2,65934828
10/20/2024,B,192.0,19.0,-4,AB,0,65934828
10/20/2024,,190.0,14.0,2,AB,,65934828
10/20/2024,B,213.0,6.0,,AF,,65934828
10/20/2024,,192.0,15.0,1,AF,1,65934828
10/20/2024,B,173.0,21.0,,AF,,65934828
10/20/2024,,194.0,17.0,W0,AF,1,65934828
10/20/2024,,180.0,21.0,-2,AF,1,65934828
10/20/2024,,176.0,21.0,,BF,,65934828
10/20/2024,,180.0,12.0,,AF,,65934828
10/20/2024,,169.0,27.0,-4,AF,0,65934828
10/20/2024,,164.0,27.0,-3,AF,0,65934828
10/20/2024,,162.0,28.0,-2,AF,0,65934828
10/20/2024,B,200.0,6.0,,BF,,65934828
10/20/2024,,220.0,14.0,-1,BF,4,65934828
10/20/2024,,222.0,8.0,-5,AF,0,65934828
10/20/2024,,216.0,5.0,2,AF,0,65934828
10/20/2024,,210.0,6.0,4,AF,,65934828
10/20/2024,,191.0,29.0,-5,BB,,65934828
10/20/2024,,187.0,19.0,-4,AF,0,65934828
10/20/2024,,167.0,23.0,1,AF,4,65934828
10/21/2024,F,214.0,6.0,,BF,,65934828
10/21/2024,B,185.0,24.0,-4,AF,1,65934828
10/21/2024,B,195.0,6.0,,AF,,65934828
10/21/2024,,185.0,20.0,-2,AF,1,65934828
10/21/2024,,177.0,23.0,W0,AF,0,65934828
10/21/2024,B,192.0,6.0,,AF,,65934828
10/21/2024,,182.0,22.0,-3,AF,0,65934828
10/21/2024,,169.0,25.0,-3,AF,0,65934828
10/21/2024,,170.0,25.0,W0,AF,1,65934828
10/21/2024,,160.0,21.0,-4,AF,0,65934828
24-Oct,F,189.0,15.0,,AF,,65934828
24-Oct,,175.0,26.0,-3,AF,1,65934828
24-Oct,B,198.0,12.0,4,AB,,65934828
24-Oct,,184.0,16.0,,BF,,65934828
24-Oct,,177.0,18.0,,AF,,65934828
24-Oct,,176.0,24.0,-1,AF,0,65934828
24-Oct,,166.0,26.0,-1,AB,3,65934828
24-Oct,B,218.0,11.0,W0,AF,3,65934828
24-Oct,,166.0,25.0,D0,AF,4,65934828
24-Oct,,174.0,25.0,,AF,,65934828
10/25/2024,F,168.0,12.0,,AF,,65934828
10/25/2024,,167.0,26.0,W0,AB,0,65934828
10/25/2024,B,205.0,15.0,-1,,2,65934828
10/25/2024,,178.0,6.0,,AB,,65934828
10/25/2024,B,180.0,24.0,,BF,,65934828
10/25/2024,,189.0,19.0,,AF,,65934828
