Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
9/2/2024,B,126,6.0,,AF,,63444816
9/2/2024,,136,4.0,4,BF,0,63444816
9/3/2024,F,113,12.0,,AF,,63444816
9/3/2024,B,110,25.0,,BF,,63444816
9/3/2024,,112,12.0,,BF,,63444816
9/6/2024,F,85,12.0,,BF,,63444816
9/6/2024,B,114,17.0,D0,AF,0,63444816
9/6/2024,B,106,10.0,,AF,,63444816
9/7/2024,F,116,18.0,1,AF,0,63444816
9/7/2024,,115,15.0,-3,AF,0,63444816
9/7/2024,B,100,6.0,,AF,,63444816
9/9/2024,F,100,6.0,,BF,,63444816
9/12/2024,F,95,12.0,,AF,,63444816
9/12/2024,B,95,12.0,,AF,,63444816
9/13/2024,F,96,6.0,,AF,,63444816
9/14/2024,F,109,6.0,,AF,,63444816
9/14/2024,B,114,15.0,,AF,,63444816
9/14/2024,B,105,21.0,2,AF,1,63444816
9/15/2024,F,110,20.0,1,AF,0,63444816
9/15/2024,B,118,18.0,,AF,,63444816
9/15/2024,,106,6.0,,AF,,63444816
9/17/2024,F,112,6.0,,BF,,63444816
9/19/2024,F,101,25.0,6,AF,0,63444816
9/23/2024,F,108,23.0,3,AF,0,63444816
9/26/2024,F,109,13.0,,AF,,63444816
9/28/2025,F,130,6.0,,BF,,63444816
9/29/2024,F,106,22.0,3,AF,0,63444816
9/29/2024,B,103,22.0,4,AF,0,63444816
10/4/2024,F,104,22.0,1,AF,0,63444816
10/5/2024,F,108,23.0,-3,AF,0,63444816
10/5/2024,,106,26.0,-2,BF,0,63444816
10/5/2024,B,121,12.0,1,AF,0,63444816
10/6/2024,F,113,21.0,,AF,,63444816
10/6/2024,B,108,21.0,D0,AF,1,63444816
10/11/2024,F,104,6.0,,AF,,63444816
10/11/2024,,115,6.0,,AF,,63444816
10/12/2024,F,108,6.0,,AF,,63444816
10/18/2024,F,110,22.0,,AF,,63444816
10/19/2024,F,107,12.0,,AF,,63444816
10/19/2024,,107,6.0,,AF,,63444816
10/26/2024,F,108,24.0,-3,BF,0,63444816
11/3/2024,F,133,6.0,,BF,,63444816
5/3/2025,F,125,21.0,-1,BF,0,63444816
5/10/2025,F,124,13.0,4,AF,0,63444816
5/10/2025,,89,26.0,4,AF,0,63444816
5/15/2025,F,114,21.0,-7,AF,0,63444816
5/15/2025,,109,6.0,,AF,,63444816
5/16/2025,F,114,21.0,,AF,0,63444816
5/17/2025,F,115,21.0,W0,AF,1,63444816
5/17/2025,B,109,18.0,2,AF,0,63444816
5/17/2025,B,110,21.0,-3,AF,1,63444816
5/18/2025,F,116,21.0,-4,AF,0,63444816
5/18/2025,,116,6.0,,AF,,63444816
5/18/2025,,129,4.0,2,AF,,63444816
5/18/2025,B,132,6.0,3,AF,P0,63444816
5/18/2025,,98,9.0,,AF,,63444816
5/19/2025,F,93,6.0,,AF,,63444816
5/19/2025,B,110,19.0,2,AF,0,63444816
5/19/2025,,118,6.0,,AF,,63444816
5/25/2025,F,118,20.0,-4,AF,,63444816
5/25/2025,,118,20.0,-5,AF,0,63444816
5/26/2025,F,95,9.0,,AF,,63444816
5/27/2025,F,126,24.0,-4,BF,,63444816
6/4/2025,F,130,6.0,4,AF,1,63444816
6/4/2025,,125,9.0,2,AF,0,63444816
6/7/2025,F,119,18.0,W0,AF,0,63444816
6/7/2025,B,115,22.0,,AF,,63444816
6/7/2025,B,103,6.0,,AF,,63444816
6/7/2025,B,104,22.0,3,AF,2,63444816
6/11/2025,F,127,15.0,,,1,63444816
6/11/2025,,126,22.0,-5,BF,,63444816
6/11/2025,B,127,9.0,,BF,3,63444816
6/13/2025,F,126,18.0,-1,BF,1,63444816
6/14/2025,F,97,24.0,5,AF,0,63444816
6/14/2025,B,108,21.0,3,AF,0,63444816
6/14/2025,B,102,27.0,-3,AF,0,63444816
6/18/2025,F,127,6.0,,BF,,63444816
6/18/2025,,127,6.0,,BF,,63444816
6/18/2025,,121,13.0,,AF,,63444816
6/19/2025,F,116,18.0,4,AF,4,63444816
6/21/2025,F,117,19.0,-4,AF,0,63444816
6/22/2025,F,123,,-5,BF,2,63444816
6/25/2025,F,115,20.0,W0,AF,0,63444816
6/25/2025,,113,6.0,,AF,,63444816
6/28/2025,F,127,6.0,,AF,,63444816
6/28/2025,,104,6.0,,AF,,63444816
6/28/2025,B,119,,,AF,,63444816
6/28/2025,B,109,6.0,,AF,,63444816
6/28/2025,B,110,21.0,1,AF,0,63444816
6/28/2025,B,110,23.0,-1,AF,2,63444816
6/29/2025,F,107,12.0,,AF,,63444816
6/29/2025,B,117,6.0,,AF,,63444816
6/29/2025,B,115,6.0,,AF,,63444816
6/29/2025,B,124,23.0,-5,BF,0,63444816
6/29/2025,,126,6.0,1,AF,0,63444816
6/29/2025,B,114,21.0,-5,AF,0,63444816
6/29/2025,,102,21.0,-1,AF,0,63444816
6/29/2025,B,113,6.0,,AF,,63444816
6/29/2025,,107,20.0,,AF,,63444816
6/30/2025,F,16,18.0,-4,AF,0,63444816
6/30/2025,,88,12.0,,,,63444816
7/1/2025,F,117,17.0,-2,AF,0,63444816
7/1/2025,,104,20.0,1,AF,0,63444816
7/2/2025,F,95,27.0,3,AF,1,63444816
7/3/2025,F,119,16.0,D0,AF,1,63444816
7/4/2025,F,132,11.0,-2,AF,1,63444816
7/4/2025,,118,,A,,,63444816
7/6/2025,F,117,17.0,D0,AF,0,63444816
7/6/2025,,132,,,,,63444816
7/6/2025,,128,8.0,,AF,,63444816
7/6/2025,B,116,17.0,-2,AF,1,63444816
7/6/2025,B,111,19.0,D0,AF,0,63444816
7/7/2025,F,122,6.0,,AF,,63444816
7/7/2025,,102,21.0,1,BF,1,63444816
7/8/2025,F,111,21.0,-3,AF,0,63444816
7/10/2025,F,117,6.0,,BF,,63444816
7/10/2025,,116,14.0,,AF,,63444816
7/12/2025,F,118,,,BF,,63444816
7/12/2025,,115,12.0,,AF,,63444816
7/12/2025,B,125,21.0,-4,BF,0,63444816
7/12/2025,,88,18.0,,BF,0,63444816
7/15/2025,F,125,20.0,-5,BF,,63444816
7/15/2025,,109,6.0,,AF,,63444816
7/18/2025,F,105,14.0,1,AF,0,63444816
7/19/2025,F,114,19.0,D0,AF,1,63444816
7/19/2025,,120,16.0,-6,AF,1,63444816
7/19/2025,,101,20.0,2,AF,1,63444816
7/19/2025,B,96,21.0,,AF,,63444816
7/19/2025,,117,12.0,W0,AF,0,63444816
7/22/2025,F,107,24.0,W0,AF,1,63444816
7/22/2025,B,114,6.0,,BF,,63444816
7/22/2025,,112,6.0,,AF,,63444816
7/23/2025,F,108,25.0,-5,AF,,63444816
7/23/2025,B,98,26.0,D0,AF,0,63444816
7/23/2025,B,104,24.0,W0,AF,0,63444816
7/23/2025,B,104,25.0,-4,AF,0,63444816
7/23/2025,,117,13.0,1,AF,2,63444816
7/23/2025,,111,16.0,W0,AF,0,63444816
7/23/2025,,112,19.0,2,AF,0,63444816
7/23/2025,B,104,12.0,,AF,0,63444816
