Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number,Cord Usage Count
7/22/2025,,157,10.0,5,AF,0.0,66094822,2
7/22/2025,,127,23.0,4,AF,2.0,66094822,6
7/22/2025,,126,24.0,3,AF,0.0,66094822,7
7/22/2025,,120,26.0,5,AF,2.0,66094822,8
7/22/2025,,124,29.0,0,AF,0.0,66094822,9
7/22/2025,,170,14.0,-3,AF,0.0,66094822,11
7/22/2025,,168,13.0,-3,AF,2.0,66094822,12
7/22/2025,,169,12.0,-1,AF,1.0,66094822,13
7/22/2025,,157,21.0,-5,AF,0.0,66094822,14
7/22/2025,,154,19.0,-3,AF,1.0,66094822,15
7/22/2025,B,159,21.0,-5,AF,0.0,66094822,17
7/22/2025,,159,17.0,-2,AF,0.0,66094822,18
7/22/2025,,156,19.0,-3,AF,4.0,66094822,19
7/22/2025,,154,20.0,-3,AF,2.0,66094822,20
7/22/2025,,141,25.0,-4,AF,0.0,66094822,21
7/22/2025,,120,33.0,1,AF,1.0,66094822,22
7/22/2025,,168,12.0,-2,AF,0.0,66094822,23
7/22/2025,,149,18.0,3,AF,0.0,66094822,25
7/22/2025,,149,26.0,-5,AF,4.0,66094822,26
7/22/2025,,140,23.0,0,AF,0.0,66094822,28
7/23/2025,F,166,17.0,-1,AF,3.0,66094822,29
7/23/2025,,124,30.0,1,AF,0.0,66094822,30
7/23/2025,,151,19.0,-1,AF,2.0,66094822,31
7/23/2025,,139,23.0,-2,AF,0.0,66094822,32
7/23/2025,B,155,21.0,0,AF,1.0,66094822,34
7/23/2025,,141,23.0,-3,AF,0.0,66094822,35
7/23/2025,B,143,23.0,-1,AF,0.0,66094822,36
7/23/2025,B,138,26.0,-1,AB,2.0,66094822,37
7/23/2025,,132,25.0,0,AF,0.0,66094822,38
7/23/2025,,154,18.0,-4,AF,0.0,66094822,39
7/24/2025,F,175,13.0,-4,AF,0.0,66094822,42
7/24/2025,,155,15.0,-1,AF,0.0,66094822,43
7/24/2025,,145,18.0,0,AF,1.0,66094822,44
7/24/2025,B,153,19.0,-2,AF,1.0,66094822,45
7/24/2025,,146,18.0,0,AF,0.0,66094822,50
7/24/2025,,151,17.0,-3,AF,0.0,66094822,54
7/24/2025,,139,21.0,-2,AF,1.0,66094822,55
7/25/2025,,150,17.0,5,AF,2.0,66094822,60
7/25/2025,,141,21.0,1,AF,1.0,66094822,61
7/25/2025,,140,24.0,1,AF,1.0,66094822,62
7/25/2025,,130,28.0,1,AF,0.0,66094822,63
7/25/2025,,127,31.0,0,AB,0.0,66094822,64
7/25/2025,,165,13.0,1,AF,0.0,66094822,65
7/25/2025,B,168,16.0,-5,AF,0.0,66094822,66
7/25/2025,,161,14.0,-2,AF,1.0,66094822,67
7/25/2025,,130,31.0,-2,AF,0.0,66094822,71
7/26/2025,,166,12.0,-2,AF,3.0,66094822,77
7/26/2025,,146,18.0,-2,AF,1.0,66094822,78
7/26/2025,B,167,14.0,-4,AF,1.0,66094822,80
7/26/2025,,142,19.0,0,AF,2.0,66094822,82
7/26/2025,B,164,15.0,0,AF,2.0,66094822,84
7/26/2025,,146,18.0,0,AF,0.0,66094822,85
7/26/2025,,137,22.0,-1,AF,0.0,66094822,86
7/26/2025,,131,24.0,2,AF,0.0,66094822,87
7/26/2025,,132,25.0,2,AF,0.0,66094822,89
7/26/2025,,122,31.0,-1,AF,0.0,66094822,90
7/26/2025,,114,33.0,0,AF,1.0,66094822,91
7/26/2025,B,158,18.0,-4,AF,1.0,66094822,92
7/26/2025,B,164,15.0,-1,AF,0.0,66094822,93
7/26/2025,,153,18.0,-2,AF,0.0,66094822,94
7/26/2025,,154,17.0,-2,AF,0.0,66094822,95
7/26/2025,,152,19.0,-2,AF,0.0,66094822,96
7/26/2025,,144,21.0,-2,AF,1.0,66094822,97
7/26/2025,,129,30.0,-4,AF,0.0,66094822,98
7/26/2025,,123,32.0,-2,AF,0.0,66094822,100
7/26/2025,,130,34.0,-4,BB,0.0,66094822,102
7/26/2025,,126,30.0,-3,AF,0.0,66094822,103
7/26/2025,,163,13.0,-2,AF,2.0,66094822,105
7/26/2025,,138,32.0,-7,AF,2.0,66094822,106
7/26/2025,,136,27.0,-2,AF,3.0,66094822,107
7/26/2025,B,155,20.0,-3,AF,0.0,66094822,108
7/26/2025,,154,22.0,-5,AF,0.0,66094822,109
7/26/2025,,145,21.0,-1,AF,2.0,66094822,110
7/26/2025,,136,24.0,0,AF,0.0,66094822,111
7/26/2025,B,140,22.0,1,AF,0.0,66094822,113
7/26/2025,,136,27.0,-5,AF,0.0,66094822,114
7/26/2025,B,141,23.0,2,AF,0.0,66094822,118
7/26/2025,,138,23.0,-1,AF,2.0,66094822,119
7/26/2025,,124,28.0,2,AF,0.0,66094822,121
7/27/2025,,154,23.0,-3,BF,0.0,66094822,125
7/27/2025,,134,24.0,3,AF,0.0,66094822,126
7/27/2025,,126,29.0,-1,AF,0.0,66094822,127
7/27/2025,,123,31.0,1,AF,0.0,66094822,129
7/27/2025,B,159,21.0,-7,AF,0.0,66094822,130
7/27/2025,,157,14.0,-2,AF,0.0,66094822,131
7/27/2025,,144,18.0,4,AF,0.0,66094822,132
7/27/2025,,152,16.0,-2,AF,0.0,66094822,134
7/27/2025,B,169,14.0,-2,AF,1.0,66094822,135
7/27/2025,,162,12.0,-3,AF,0.0,66094822,136
7/27/2025,,162,12.0,-1,AF,1.0,66094822,137
7/27/2025,,161,12.0,-4,AF,0.0,66094822,138
7/27/2025,,153,14.0,3,AF,1.0,66094822,139
7/27/2025,,145,18.0,-2,AF,0.0,66094822,140
7/27/2025,B,162,15.0,-1,AF,0.0,66094822,141
7/27/2025,,144,18.0,0,AF,0.0,66094822,143
7/27/2025,,136,24.0,-1,AF,0.0,66094822,144
7/27/2025,,153,16.0,2,AF,0.0,66094822,147
7/27/2025,,128,29.0,-1,AF,0.0,66094822,149
7/27/2025,,123,31.0,-2,AF,0.0,66094822,150
7/27/2025,,120,32.0,0,AB,0.0,66094822,151
7/27/2025,,119,34.0,-5,AF,0.0,66094822,156
7/28/2025,,157,14.0,1,AF,0.0,66094822,158
7/28/2025,,120,28.0,1,AF,0.0,66094822,161
7/28/2025,B,162,17.0,-3,AF,3.0,66094822,162
7/28/2025,,161,8.0,2,AF,0.0,66094822,163
7/28/2025,,150,18.0,1,AF,0.0,66094822,164
7/28/2025,,147,20.0,-2,AF,0.0,66094822,165
7/28/2025,,137,23.0,-1,AF,0.0,66094822,166
7/28/2025,,151,19.0,1,AF,3.0,66094822,167
7/28/2025,,143,21.0,0,AF,0.0,66094822,168
7/28/2025,,122,30.0,0,AF,0.0,66094822,175
7/28/2025,,116,33.0,1,AF,0.0,66094822,176
7/28/2025,B,158,21.0,-5,AF,0.0,66094822,177
7/28/2025,,158,16.0,-1,AF,0.0,66094822,178
7/28/2025,,162,16.0,-5,AF,2.0,66094822,181
7/28/2025,,156,22.0,-4,BF,0.0,66094822,182
7/28/2025,,154,16.0,2,BF,0.0,66094822,183
7/28/2025,,144,23.0,-4,AF,0.0,66094822,184
7/28/2025,,123,31.0,0,AF,0.0,66094822,186
7/28/2025,,116,36.0,-4,AF,0.0,66094822,187
7/28/2025,,121,33.0,-1,AF,0.0,66094822,188
7/28/2025,B,154,17.0,-3,AB,0.0,66094822,190
7/29/2025,F,144,25.0,-4,AF,0.0,66094822,191
7/29/2025,,164,14.0,-5,AF,0.0,66094822,192
7/29/2025,B,156,16.0,-3,AF,0.0,66094822,194
7/29/2025,,153,20.0,1,BB,3.0,66094822,197
7/29/2025,B,162,14.0,-3,AF,0.0,66094822,198
7/29/2025,,155,13.0,0,AF,2.0,66094822,201
7/29/2025,,147,16.0,0,AB,0.0,66094822,202
7/29/2025,,140,18.0,1,AF,0.0,66094822,203
7/29/2025,,142,19.0,2,AF,0.0,66094822,204
7/29/2025,B,158,16.0,-2,AF,1.0,66094822,206
7/29/2025,,142,22.0,-5,AF,2.0,66094822,207
7/30/2025,B,169,12.0,-3,AF,0.0,66094822,212
7/30/2025,,144,18.0,0,AF,0.0,66094822,213
7/30/2025,,142,20.0,-5,AF,0.0,66094822,214
7/30/2025,,138,19.0,3,AF,3.0,66094822,215
7/30/2025,B,156,16.0,1,AF,2.0,66094822,216
7/30/2025,,150,16.0,0,AF,0.0,66094822,217
7/30/2025,,140,19.0,3,AB,0.0,66094822,218
7/30/2025,B,164,14.0,-2,AF,0.0,66094822,220
7/30/2025,,159,13.0,-2,AF,0.0,66094822,221
7/30/2025,,154,15.0,-3,AF,0.0,66094822,222
7/30/2025,,151,16.0,0,AF,0.0,66094822,223
7/30/2025,,139,19.0,2,AF,0.0,66094822,224
7/30/2025,,169,10.0,0,AF,2.0,66094822,225
7/30/2025,B,147,21.0,0,AF,3.0,66094822,227
7/31/2025,F,155,18.0,0,AF,0.0,66094822,231
7/31/2025,,157,15.0,0,AF,0.0,66094822,232
7/31/2025,,140,20.0,2,AF,0.0,66094822,234
7/31/2025,,131,24.0,3,AF,0.0,66094822,235
7/31/2025,,118,33.0,-2,AF,0.0,66094822,236
7/31/2025,B,129,29.0,2,AF,0.0,66094822,237
7/31/2025,B,156,19.0,-3,AB,0.0,66094822,238
8/1/2025,,161,6.0,4,AF,2.0,66094822,240
8/1/2025,,157,14.0,-4,AF,1.0,66094822,241
8/1/2025,,165,10.0,-3,AF,2.0,66094822,244
8/1/2025,,138,21.0,0,AF,1.0,66094822,245
8/1/2025,,127,26.0,0,AF,1.0,66094822,246
8/1/2025,,125,27.0,1,AF,0.0,66094822,247
8/1/2025,B,159,14.0,2,AF,1.0,66094822,248
8/1/2025,,157,13.0,-2,AF,0.0,66094822,249
8/1/2025,,151,13.0,2,AF,0.0,66094822,251
8/1/2025,,139,22.0,-1,AF,0.0,66094822,254
8/1/2025,,125,28.0,0,AF,2.0,66094822,256
8/1/2025,,168,10.0,-3,AF,0.0,66094822,257
8/1/2025,,121,28.0,1,AF,0.0,66094822,258
8/1/2025,,152,20.0,-1,BF,0.0,66094822,259
8/1/2025,,151,15.0,-1,AF,0.0,66094822,260
8/1/2025,,142,20.0,-2,AF,0.0,66094822,261
8/1/2025,,124,29.0,1,AF,2.0,66094822,268
8/1/2025,B,130,31.0,-3,AF,0.0,66094822,269
8/1/2025,,123,29.0,-1,AF,0.0,66094822,270
8/1/2025,,145,19.0,-3,AF,0.0,66094822,271
8/1/2025,,138,20.0,0,AF,0.0,66094822,272
8/1/2025,,143,17.0,0,AF,0.0,66094822,274
8/1/2025,B,139,21.0,-2,BB,0.0,66094822,276
8/1/2025,,140,20.0,1,AF,0.0,66094822,277
8/1/2025,,129,28.0,-4,AF,0.0,66094822,278
8/1/2025,,126,27.0,1,AF,0.0,66094822,279
8/2/2025,F,152,17.0,0,AF,0.0,66094822,280
8/2/2025,,156,14.0,-1,AF,0.0,66094822,283
8/2/2025,,156,14.0,-2,AF,0.0,66094822,284
8/2/2025,,158,14.0,-4,AF,2.0,66094822,285
8/2/2025,,142,20.0,-4,AF,2.0,66094822,286
8/2/2025,,141,18.0,-1,AF,0.0,66094822,291
8/2/2025,,134,23.0,0,AF,0.0,66094822,293
8/2/2025,,119,32.0,0,AF,0.0,66094822,294
8/2/2025,B,160,14.0,0,AF,1.0,66094822,295
8/2/2025,,153,15.0,-4,AF,0.0,66094822,296
8/2/2025,,149,15.0,0,AF,0.0,66094822,297
8/2/2025,,154,14.0,1,AF,2.0,66094822,298
8/2/2025,,146,16.0,1,AF,0.0,66094822,299
8/2/2025,,137,23.0,-6,AF,0.0,66094822,300
8/2/2025,,142,18.0,1,AF,1.0,66094822,301
8/2/2025,,132,25.0,-1,AB,0.0,66094822,302
8/2/2025,,134,24.0,-3,AF,2.0,66094822,304
8/2/2025,B,163,16.0,-7,AF,0.0,66094822,307
8/2/2025,,148,15.0,3,AF,4.0,66094822,310
