Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number,Cord Usage Count
10/19/2024,F,196.0,17.0,-4,AF,2,65934828,1
10/19/2024,,206.0,11.0,-2,AF,0,65934828,2
10/19/2024,,175.0,24.0,-3,AF,1,65934828,4
10/19/2024,,172.0,23.0,1,AF,1,65934828,6
10/20/2024,F,226.0,9.0,2,AF,0,65934828,7
10/20/2024,,203.0,12.0,2,AF,2,65934828,9
10/20/2024,,195.0,16.0,-3,AF,1,65934828,10
10/20/2024,,192.0,16.0,-3,AF,3,65934828,11
10/20/2024,,161.0,26.0,2,AF,3,65934828,12
10/20/2024,B,200.0,16.0,-4,AF,0,65934828,13
10/20/2024,,200.0,12.0,3,AF,0,65934828,14
10/20/2024,,183.0,21.0,-5,AF,0,65934828,15
10/20/2024,,185.0,20.0,-3,AB,1,65934828,16
10/20/2024,,175.0,22.0,-1,AF,0,65934828,17
10/20/2024,B,204.0,15.0,-1,AB,2,65934828,18
10/20/2024,,185.0,17.0,3,AB,2,65934828,19
10/20/2024,B,192.0,19.0,-4,AB,0,65934828,20
10/20/2024,,192.0,15.0,1,AF,1,65934828,23
10/20/2024,,194.0,17.0,0,AF,1,65934828,25
10/20/2024,,180.0,21.0,-2,AF,1,65934828,26
10/20/2024,,169.0,27.0,-4,AF,0,65934828,29
10/20/2024,,164.0,27.0,-3,AF,0,65934828,30
10/20/2024,,162.0,28.0,-2,AF,0,65934828,31
10/20/2024,,220.0,14.0,-1,BF,4,65934828,33
10/20/2024,,222.0,8.0,-5,AF,0,65934828,34
10/20/2024,,216.0,5.0,2,AF,0,65934828,35
10/20/2024,,187.0,19.0,-4,AF,0,65934828,38
10/20/2024,,167.0,23.0,1,AF,4,65934828,39
10/21/2024,B,185.0,24.0,-4,AF,1,65934828,41
10/21/2024,,185.0,20.0,-2,AF,1,65934828,43
10/21/2024,,177.0,23.0,0,AF,0,65934828,44
10/21/2024,,182.0,22.0,-3,AF,0,65934828,46
10/21/2024,,169.0,25.0,-3,AF,0,65934828,47
10/21/2024,,170.0,25.0,0,AF,1,65934828,48
10/21/2024,,160.0,21.0,-4,AF,0,65934828,49
24-Oct,,175.0,26.0,-3,AF,1,65934828,51
24-Oct,,176.0,24.0,-1,AF,0,65934828,55
24-Oct,,166.0,26.0,-1,AB,3,65934828,56
24-Oct,B,218.0,11.0,0,AF,3,65934828,57
24-Oct,,166.0,25.0,0,AF,4,65934828,58
10/25/2024,,167.0,26.0,0,AB,0,65934828,61
10/25/2024,B,204.0,15.0,-2,AF,0,65934828,66
10/25/2024,,196.0,16.0,-2,AF,0,65934828,67
