Date,Brk,Hour,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Additional Factors,JM,JA,Cord Serial Number
7/22/2024,B,11,263,32,-3,AF,1,,JL,MS,6290 4842
,B,14,266,30,-2,AF,3,,OAB,CD,6290 4842
,B,14,269,28,W0,AF,0,,,,6290 4842
,B,16,270,29,-2,AF,3,,ZG,CD,6290 4842
7/23/2024,B,12,280,26,1,AF,3,,MS,OAB,6290 4842
,B,13,275,33,,BF,,,,,6290 4842
7/24/2024,F,14,271,30,1,AF,2,,MH,CD,6290 4842
7/26/2024,F,14,291,26,-3,AF,2,,MH,ZS,6290 4842
7/27/2024,F,8,289,6,,BF,,,OB,JL,6290 4842
,B,13,276,27,-3,AF,0,,MH,ZS,6290 4842
,,13,252,29,1,AF,1,,,,6290 4842
,B,14,253,35,-3,AF,2,,,,6290 4842
,,15,268,26,1,AF,2,,,,6290 4842
7/28/2024,F,15,296,23,-3,AF,0,,,,6290 4842
7/29/2024,F,13,270,31,-3,AF,0,,MS,ZS,6290 4842
,,13,256,29,W0,AF,1,,,,6290 4842
7/30/2024,F,18,295,6,,AF,,,MH,ZG,6290 4842
8/4/2024,F,13,283,25,D0,AF,3,,MS,JL,6290 4842
,B,14,281,6,,AF,,,CD,ZG,6290 4842
,,14,283,22,D0,AF,0,,,,6290 4842
8/10/2024,F,11,280,27,W0,AF,1,,JL,ZS,6290 4842
,,11,272,12,,AF,,,,,6290 4842
,B,17,284,28,-6,AF,0,,,,6290 4842
8/11/2024,F,14,285,25,-2,AF,1,,CD,ZG,6290 4842
,,15,267,27,-4,AF,0,,,,6290 4842
,B,16,308,15,2,AF,2,,,,6290 4842
8/19/2024,F,17,294,21,2,AF,2,W2,MS,ZG,6290 4842
8/20/2024,F,13,301,22,-2,AF,0,,ZG,MS,6290 4842
,B,18,288,22,D0,AF,0,DEADMAN,,,6290 4842
8/22/2024,F,14,300,23,-2,AF,1,,ZS,MS,6290 4842
8/23/2024,F,15,286,25,-2,AF,2,,MS,ZG,6290 4842
8/28/2024,F,15,280,27,1,AF,0,,CD,ZG,6290 4842
8/29/2024,F,14,285,25,-2,AF,0,,ZS,ZG,6290 4842
9/1/2024,F,10,292,6,,AF,,,MS,CD,6290 4842
,B,14,286,24,D0,AF,0,W1,ZS,MS,6290 4842
,B,17,303,6,,AF,,,OAB,ZS,6290 4842
9/7/2024,F,13,276,29,W0,AF,2,,,,6290 4842
9/14/2024,F,11,278,30,-1,AF,4,,,,6290 4842
9/28/2024,,11,292,24,2,AF,2,BIGFLOP,OAB,CD,6290 4842
9/29/2024,F,14,297,6,8,BF,0,,MS,ZS,6290 4842
10/3/2024,F,13,228,6,,BF,,,MS,ZS,6290 4842
