Date,Brk,Hour,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Additional Factors,JM,JA,Cord Serial Number
9/30/2024,F,14,230,17,4,AF,0,,MS,ZS,6556 4834
,B/2,14,213,6,,AF,,,,,6556 4834
,B,14,259,6,3,AF,1,,,,6556 4834
10/4/2024,F,17,236,6,,AF,,,ZG,ZS,6556 4834
10/5/2024,F,11,223,12,,AF,,,,,6556 4834
,,11,219,24,-3,AF,0,,,,6556 4834
,,11,207,29,-5,AF,4,,,,6556 4834
,B,12,250,12,1,AF,4,,,,6556 4834
,,12,237,6,,AF,,,,,6556 4834
,,12,233,6,,AF,,,,,6556 4834
,,12,211,18,3,AF,3,,,,6556 4834
,,12,211,12,4,AF,,,,,6556 4834
,B,13,239,17,D0,AF,2,,OAB,MS,6556 4834
,,13,222,6,,AF,,,,,6556 4834
,B,15,242,16,-2,AF,0,,OAB,CD,6556 4834
10/6/2024,F,11,254,5,4,AF,0,,ZS,ZG,6556 4834
,B,12,222,6,,AF,,,ZS,CD,6556 4834
,,12,218,18,1,AF,3,PUSHDOWN,,,6556 4834
10/7/2024,B,15,212,6,,AF,,W1,ZS,ZG,6556 4834
,,15,220,18,1,AF,0,W2,,,6556 4834
,B,15,212,18,7,AF,,,,,6556 4834
10/10/2024,F,15,230,6,,AF,,,,,6556 4834
,B,16,224,25,-4,AF,1,,,,6556 4834
,,16,220,6,,AF,,,,,6556 4834
10/12/2024,F,7,246,6,7,AF,1,,MS,CD,6556 4834
,B,9,223,6,,AF,,,,,6556 4834
,B,10,227,20,-1,AF,0,,CD,MS,6556 4834
,B,13,231,18,D0,AF,0,,,,6556 4834
,,13,215,12,,BF,,,ZS,ZG,6556 4834
,B,15,226,6,,AF,,,,,6556 4834
,,15,229,18,-2,AF,0,,,,6556 4834
,,15,206,18,,AF,,,,,6556 4834
,B,17,229,23,-5,AF,2,,,,6556 4834
,,17,228,16,,AF,,,,,6556 4834
10/13/2024,F,8,258,11,4,AF,0,,ZS,OAB,6556 4834
,B,10,218,12,,AF,,,,,6556 4834
,B,12,226,6,,AF,,,,,6556 4834
,B,12,226,20,-3,AF,0,,MS,ZS,6556 4834
,B,13,240,13,1,AF,0,,,,6556 4834
,B,14,235,17,D0,AF,0,,,,6556 4834
,B,16,226,20,,AF,,,,,6556 4834
