Date,Brk,Hour,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Additional Factors,JM,JA,Cord Serial Number
10/19/2024,F,16,196,17,-4,AF,2,,MS,OAB,6593 4828
,,16,206,11,-2,AF,0,,,,6593 4828
,B,17,192,6,,BF,,,,,6593 4828
,,17,175,24,-3,AF,1,,,,6593 4828
,B,17,170,12,,BF,,,,,6593 4828
,,17,172,23,1,AF,1,,,,6593 4828
10/20/2024,F,10,226,9,2,AF,0,,ZS,CD,6593 4828
,B,10,181,32,-5,BF,,CRwewd,,,6593 4828
,,10,203,12,2,AF,2,,,,6593 4828
,,10,195,16,-3,AF,1,,,,6593 4828
,,10,192,16,-3,AF,3,,,,6593 4828
,,10,161,26,2,AF,3,,,,6593 4828
,B,11,200,16,-4,AF,0,,,,6593 4828
,,11,200,12,3,AF,0,FLOP,,,6593 4828
,,11,183,21,-5,AF,0,,,,6593 4828
,,11,185,20,-3,AB,1,,,,6593 4828
,,11,175,22,-1,AF,0,,,,6593 4828
,B,12,204,15,-1,AB,2,,,,6593 4828
,,12,185,17,3,AB,2,,,,6593 4828
,B,13,192,19,-4,AB,0,,,,6593 4828
,,13,190,14,2,AB,,,,,6593 4828
,B,13,213,6,,AF,,,CD,ZG,6593 4828
,,13,192,15,1,AF,1,,CD,ZG,6593 4828
,B,14,173,21,,AF,,,,,6593 4828
,,14,194,17,W0,AF,1,,OAB,ZS,6593 4828
,,14,180,21,-2,AF,1,,,,6593 4828
,,14,176,21,,BF,,GAINER ,,,6593 4828
,,14,180,12,,AF,,,,,6593 4828
,,14,169,27,-4,AF,0,,,,6593 4828
,,14,164,27,-3,AF,0,,,,6593 4828
,,14,162,28,-2,AF,0,,,,6593 4828
,B,16,200,6,,BF,,,,,6593 4828
,,16,220,14,-1,BF,4,,,,6593 4828
,,16,222,8,-5,AF,0,,,,6593 4828
,,16,216,5,2,AF,0,,,,6593 4828
,,16,210,6,4,AF,,,,,6593 4828
,,16,191,29,-5,BB,,,,,6593 4828
,,16,187,19,-4,AF,0,,,,6593 4828
,,16,167,23,1,AF,4,,,,6593 4828
10/21/2024,F,13,214,6,,BF,,,ZS,ZG,6593 4828
,B,14,185,24,-4,AF,1,,,,6593 4828
,B,15,195,6,,AF,,,,,6593 4828
,,15,185,20,-2,AF,1,,ZS,ZG,6593 4828
,,15,177,23,W0,AF,0,,,,6593 4828
,B,16,192,6,,AF,,,,,6593 4828
,,16,182,22,-3,AF,0,,,,6593 4828
,,16,169,25,-3,AF,0,,,,6593 4828
,,16,170,25,W0,AF,1,,,,6593 4828
,,16,160,21,-4,AF,0,,,,6593 4828
24-Oct,F,13,189,15,,AF,,,ZS,ZG,6593 4828
,,13,175,26,-3,AF,1,,,,6593 4828
,B,14,198,12,4,AB,,,,,6593 4828
,,14,184,16,,BF,,,,,6593 4828
,,14,177,18,,AF,,,,,6593 4828
,,14,176,24,-1,AF,0,,,,6593 4828
,,14,166,26,-1,AB,3,,,,6593 4828
,B,17,218,11,W0,AF,3,,,,6593 4828
,,17,166,25,D0,AF,4,,,,6593 4828
,,17,174,25,,AF,,,,,6593 4828
10/25/2024,F,14,168,12,,AF,,,ZG,ZS,6593 4828
,,14,167,26,W0,AB,0,,,,6593 4828
,B,15,205,15,-1,,2,,,,6593 4828
,,15,178,6,,AB,,,,,6593 4828
,B,15,180,24,,BF,,,,,6593 4828
,,15,189,19,,AF,,,,,6593 4828
,B,16,204,15,-2,AF,0,,,,6593 4828
,,16,196,16,-2,AF,0,,,,6593 4828
,,16,190,19,-3,AB,1,,,,6593 4828
,,16,179,23,-4,AF,1,,,,6593 4828
,B,17,173,34,-4,BF,,,,,6593 4828
,,17,180,22,,BF,,,,,6593 4828
10/26/2024,F,11,201,6,,AF,,,ZS,ZG,6593 4828
,,11,194,6,,AF,,,,,6593 4828
,,11,174,18,,AB,,,,,6593 4828
,,11,174,23,2,AF,3,,,,6593 4828
,B,12,201,6,,AF,,,,,6593 4828
,,12,184,19,W0,AF,0,,,,6593 4828
,B,13,215,5,4,AF,0,,,,6593 4828
,,13,205,4,4,AF,0,,,,6593 4828
,,15,198,6,,AF,,,ZG,ZS,6593 4828
,,15,187,19,W0,AF,0,,,,6593 4828
,,15,179,12,,AF,,,,,6593 4828
,,13,176,22,-1,AF,0,STRAIGHTDOWN,ZG,ZS,6593 4828
,B,14,211,5,5,AF,2,,CD,MS,6593 4828
,,14,210,8,1,AF,0,,,,6593 4828
,,14,192,6,,BB,,,,,6593 4828
,,14,195,6,,AF,,,,,6593 4828
,B,14,206,14,W0,AF,3,,,,6593 4828
,,14,196,6,,BF,,,,,6593 4828
,,14,190,18,W0,AF,1,,,,6593 4828
,B,16,209,11,1,AF,0,STRAIGHTDOWN,MS,CD,6593 4828
,,16,207,9,1,AF,0,,,,6593 4828
,,16,193,6,,AF,,,,,6593 4828
,,16,194,6,,AF,,,,,6593 4828
,,16,171,18,,AF,,,,,6593 4828
,B,16,187,22,,AF,0,CLIFFHANGER,,,6593 4828
10/27/2024,F,10,180,21,,BF,,,CD,ZS,6593 4828
,,10,195,6,,AF,,,,,6593 4828
,,10,170,15,,AF,,,,,6593 4828
,B,11,194,6,,AF,,,,,6593 4828
,,11,180,18,,BF,,,,,6593 4828
,,11,192,9,,AF,,,,,6593 4828
,,11,198,6,,AF,,,,,6593 4828
,,11,184,6,,BF,,,,,6593 4828
,B,11,192,6,,AF,,,CD,ZS,6593 4828
,,11,196,6,,BF,,,,,6593 4828
,,12,212,8,5,AF,2,,,,6593 4828
,,12,199,6,,AF,,,,,6593 4828
,,12,192,6,,AF,,,,,6593 4828
,,12,188,6,,BF,,,,,6593 4828
,,12,188,22,-5,AF,0,,,,6593 4828
,B,13,210,6,,BF,,,ZS,CD,6593 4828
,,13,189,6,,BF,,,ZS,ZG,6593 4828
,,13,208,10,D0,AF,0,,,,6593 4828
,,13,181,6,,BF,,,,,6593 4828
,,13,177,22,-2,AF,0,,,,6593 4828
,B,15,208,6,,AF,,,,,6593 4828
,,15,189,6,,BF,,,,,6593 4828
,,15,198,17,-4,AB,0,,,,6593 4828
,,15,190,6,,AF,,,,,6593 4828
,,15,190,6,,AF,,,,,6593 4828
,,15,180,6,,AF,,,,,6593 4828
